日期,单品名称,批发价格(元/千克)_否,销售单价(元/千克)_否,销量(千克)_否,损耗率(%)_否
2020-07-04,菜心,3.53,8.0,13.034,13.7
2020-07-04,螺丝椒,6.0,14.0,10.238,10.18
2020-07-04,西兰花,9.27,14.0,42.815,9.26
2020-07-04,西峡香菇(1),12.0,19.8,14.094,13.82
2020-07-04,金针菇(1),4.05,7.0,16.702,3.43
2020-07-04,青尖椒,4.41,8.0,3.948,6.72
2020-07-04,青梗散花,4.71,8.0,12.847,17.06
2020-07-04,青线椒,6.09,12.0,8.509,7.800000000000001
2020-07-04,青茄子(1),1.9799999999999998,4.0,24.022,5.01
2020-07-04,高瓜(1),5.41,10.0,3.107,29.25
2020-07-04,黄心菜(1),4.01,8.0,5.2509999999999994,10.64
2020-07-04,黄白菜(2),4.63,9.0,17.785,15.61
2020-07-05,七彩椒(1),8.35,14.0,1.395,15.98
2020-07-05,上海青,6.559999999999999,10.0,11.617,14.43
2020-07-05,东门口小白菜,7.03,11.0,3.625,27.84
2020-07-05,云南油麦菜,3.75,6.0,12.594,12.81
2020-07-05,云南生菜,5.77,8.0,33.835,15.25
2020-07-05,大白菜,2.2,4.0,9.698,22.27
2020-07-05,大龙茄子,8.1,12.0,10.026,10.94
2020-07-05,姬菇(1),7.9,14.0,1.772,8.99
2020-07-05,娃娃菜,4.1,6.9,10.0,2.48
2020-07-05,小米椒,11.67,25.8,3.6990000000000003,5.86
2020-07-05,木耳菜,4.31,7.0,3.568,7.610000000000001
2020-07-05,杏鲍菇(1),6.160000000000001,10.0,14.044,5.05
2020-07-05,泡泡椒(精品),5.16,7.599999999999999,53.874,7.08
2020-07-05,灯笼椒(1),7.23,12.0,0.626,16.33
2020-07-05,甜白菜,4.44,8.0,17.408,9.43
2020-07-05,竹叶菜,3.45,6.0,30.519,13.62
2020-07-05,紫茄子(2),4.24,7.0,26.493,6.07
2020-07-05,红杭椒,5.83,16.0,2.56,9.99
2020-07-05,红椒(1),5.44,10.0,7.412,11.76
2020-07-05,红灯笼椒(1),7.3,16.0,1.282,8.93
2020-07-05,红薯尖,3.6,6.0,55.159,8.42
2020-07-05,苋菜,3.48,6.0,6.021,18.52
2020-07-05,菜心,4.04,8.0,10.791,13.699999999999998
2020-07-05,螺丝椒,7.95,14.0,15.173,10.18
2020-07-05,西兰花,9.47,14.0,42.365,9.26
2020-07-05,西峡香菇(1),12.0,19.8,18.406,13.819999999999999
2020-07-05,金针菇(1),4.05,7.0,18.991,3.43
2020-07-05,金针菇(袋)(1),1.6299999999999997,3.5,20.0,8.85
2020-07-05,青尖椒,4.35,8.0,3.535,6.720000000000001
2020-07-05,青梗散花,4.93,8.0,13.109,17.06
2020-07-05,青线椒,6.300000000000001,12.0,8.475,7.800000000000001
2020-07-05,青茄子(1),2.04,4.0,24.423000000000002,5.01
2020-07-05,高瓜(1),5.419999999999999,10.0,4.019,29.25
2020-07-05,黄白菜(2),4.75,9.0,14.811,15.61
2020-07-06,七彩椒(1),8.44,14.0,1.2730000000000001,15.98
2020-07-06,上海青,6.25,10.0,13.458,14.43
2020-07-06,云南油麦菜,3.65,6.0,11.053,12.81
2020-07-06,云南生菜,6.480000000000001,8.0,36.532,15.25
2020-07-06,外地茼蒿,9.17,16.0,5.4190000000000005,26.16
2020-07-06,大白菜,2.2,4.0,14.098,22.27
2020-07-06,大龙茄子,5.27,12.0,5.333,10.94
2020-07-06,姬菇(1),7.889999999999999,14.0,1.103,8.99
2020-07-06,娃娃菜,4.06,6.9,9.0,2.48
2020-07-06,小白菜,9.23,16.0,6.496,7.59
2020-07-06,小米椒,11.68,25.8,3.064,5.86
2020-07-06,木耳菜,4.21,7.0,3.539,7.610000000000001
2020-07-06,杏鲍菇(1),6.14,10.0,9.012,5.05
2020-07-06,泡泡椒(精品),4.98,7.6,26.296,7.08
2020-07-06,海鲜菇(1),10.09,17.0,1.202,9.89
2020-07-06,灯笼椒(1),7.38,12.0,1.127,16.33
2020-07-06,甜白菜,4.44,8.0,29.163,9.43
2020-07-06,竹叶菜,3.18,6.0,14.131,13.619999999999997
2020-07-06,紫茄子(2),4.49,8.0,8.96,6.07
2020-07-06,红杭椒,5.82,16.0,2.0140000000000002,9.99
2020-07-06,红椒(1),5.41,10.0,4.308,11.76
2020-07-06,红灯笼椒(1),8.05,18.0,1.234,8.93
2020-07-06,红薯尖,3.6,6.0,15.903,8.42
2020-07-06,苋菜,3.35,6.0,5.854,18.52
2020-07-06,菜心,4.55,8.0,10.162,13.7
2020-07-06,螺丝椒,8.16,14.0,10.36,10.18
2020-07-06,西兰花,9.48,14.0,23.99,9.26
2020-07-06,西峡香菇(1),12.0,19.8,13.35,13.82
2020-07-06,金针菇(1),4.06,7.0,11.911,3.43
2020-07-06,金针菇(袋)(1),1.64,3.5,3.0,8.85
2020-07-06,青尖椒,4.41,8.0,3.896,6.72
2020-07-06,青梗散花,5.6,9.0,18.287,17.06
2020-07-06,青线椒,6.42,12.0,5.11,7.8
2020-07-06,青茄子(1),2.05,4.0,16.434,5.01
2020-07-06,高瓜(1),5.45,10.0,2.708,29.25
2020-07-06,黄白菜(2),5.31,9.0,8.631,15.610000000000001
2020-07-07,七彩椒(1),8.46,14.0,1.323,15.98
2020-07-07,上海青,6.25,10.0,9.861,14.43
2020-07-07,东门口小白菜,4.32,11.0,1.266,27.84
2020-07-07,云南油麦菜,3.73,6.0,28.214,12.81
2020-07-07,云南生菜,6.919999999999999,10.0,30.058,15.25
2020-07-07,外地茼蒿,9.42,16.0,3.416,26.16
2020-07-07,大白菜,2.2,4.0,14.074,22.270000000000003
2020-07-07,姬菇(1),7.88,14.0,1.137,8.99
2020-07-07,娃娃菜,4.07,6.863636363636363,5.0,2.48
2020-07-07,小白菜,9.9,16.0,6.929,7.589999999999999
2020-07-07,小米椒,11.69,25.8,2.738,5.86
2020-07-07,平菇,8.0,13.0,0.424,11.6
2020-07-07,木耳菜,4.21,7.0,5.059,7.61
2020-07-07,杏鲍菇(1),6.13,10.0,13.012,5.05
2020-07-07,泡泡椒(精品),4.75,8.0,8.51,7.08
2020-07-07,海鲜菇(1),10.05,17.0,2.2159999999999997,9.89
2020-07-07,灯笼椒(1),6.19,12.0,1.787,16.33
2020-07-07,甜白菜,4.44,8.0,8.107,9.43
2020-07-07,竹叶菜,3.18,6.0,11.756,13.62
2020-07-07,紫茄子(2),4.75,8.0,14.6,6.07
2020-07-07,红杭椒,5.8,16.0,2.3529999999999998,9.99
2020-07-07,红椒(1),5.48,10.0,4.158,11.76
2020-07-07,红灯笼椒(1),10.56,18.0,1.374,8.93
2020-07-07,红薯尖,3.6000000000000005,6.0,4.698,8.42
2020-07-07,苋菜,3.26,6.0,8.062,18.52
2020-07-07,菜心,4.65,8.0,11.478,13.7
2020-07-07,螺丝椒,8.08,14.0,11.96,10.18
2020-07-07,西兰花,9.16,14.0,23.05,9.26
2020-07-07,西峡香菇(1),12.0,19.8,14.533,13.820000000000002
2020-07-07,金针菇(1),4.05,7.6000000000000005,16.797,3.43
2020-07-07,金针菇(袋)(1),1.64,3.5,3.0,8.85
2020-07-07,青尖椒,4.6,8.0,3.784,6.720000000000001
2020-07-07,青梗散花,5.44,9.0,22.699,17.06
2020-07-07,青线椒,6.6,12.0,4.226,7.8
2020-07-07,青茄子(1),2.05,4.0,17.512,5.009999999999999
2020-07-07,高瓜(1),5.46,10.0,3.117,29.25
2020-07-07,黄白菜(2),5.31,9.0,8.897,15.61
2020-07-08,七彩椒(1),8.42,14.0,1.08,15.98
2020-07-08,上海青,6.25,10.0,12.568999999999999,14.43
2020-07-08,云南油麦菜,3.75,6.0,9.732,12.81
2020-07-08,云南生菜,6.92,10.0,21.339,15.25
2020-07-08,净藕(1),9.0,16.0,8.239,5.54
2020-07-08,南瓜尖,4.59,8.0,4.875,13.46
2020-07-08,外地茼蒿,9.81,18.0,1.146,26.16
2020-07-08,大白菜,2.2,4.0,6.8100000000000005,22.27
2020-07-08,姬菇(1),7.87,14.0,0.908,8.99
2020-07-08,娃娃菜,4.11,6.9,0.0,2.48
2020-07-08,小白菜,10.42,16.0,5.33,7.59
2020-07-08,小米椒,11.54,25.8,3.165,5.86
2020-07-08,木耳菜,4.21,7.0,4.429,7.610000000000001
2020-07-08,杏鲍菇(1),6.13,10.0,12.148,5.05
2020-07-08,泡泡椒(精品),4.75,8.0,22.055,7.08
2020-07-08,海鲜菇(1),10.040000000000001,17.0,1.639,9.89
2020-07-08,灯笼椒(1),4.34,12.0,0.985,16.33
2020-07-08,甜白菜,4.44,8.0,15.712,9.43
2020-07-08,竹叶菜,3.02,6.0,7.9270000000000005,13.62
2020-07-08,紫茄子(2),5.23,8.0,18.012,6.07
2020-07-08,红杭椒,6.2,16.0,2.697,9.99
2020-07-08,红椒(1),5.619999999999999,10.0,4.67,11.760000000000002
2020-07-08,红灯笼椒(1),12.22,18.0,1.859,8.93
2020-07-08,红薯尖,3.6000000000000005,6.0,9.769,8.42
2020-07-08,苋菜,3.24,6.0,9.079,18.52
2020-07-08,菜心,4.78,8.0,8.835,13.7
2020-07-08,螺丝椒,7.55,14.0,17.396,10.18
2020-07-08,西兰花,9.09,14.0,24.641000000000002,9.26
2020-07-08,西峡香菇(1),12.0,19.8,14.827,13.82
2020-07-08,金针菇(1),4.05,7.599999999999999,14.446,3.43
2020-07-08,青尖椒,4.77,8.0,5.554,6.72
2020-07-08,青梗散花,5.27,9.0,20.792,17.06
2020-07-08,青线椒,7.17,12.0,3.7720000000000002,7.8
2020-07-08,青茄子(1),2.04,4.0,21.082,5.01
2020-07-08,高瓜(1),5.47,10.0,2.366,29.25
2020-07-08,黄心菜(1),4.39,8.0,6.102,10.64
2020-07-08,黄白菜(2),5.3100000000000005,9.0,13.7,15.610000000000001
2020-07-09,七彩椒(1),7.92,14.0,0.379,15.98
2020-07-09,上海青,6.25,10.0,10.182,14.43
2020-07-09,云南油麦菜,3.75,6.0,14.213000000000001,12.81
2020-07-09,云南生菜,7.06,10.0,33.109,15.25
2020-07-09,外地茼蒿,9.8,18.0,1.123,26.16
2020-07-09,大白菜,2.15,4.0,23.142,22.270000000000003
2020-07-09,大龙茄子,4.07,12.0,7.755,10.94
2020-07-09,姬菇(1),7.85,14.0,1.3599999999999999,8.99
2020-07-09,娃娃菜,4.09,6.9,9.0,2.48
2020-07-09,小白菜,10.42,16.0,3.761,7.59
2020-07-09,小米椒,10.2,25.8,1.875,5.86
2020-07-09,木耳菜,4.22,7.0,4.013,7.61
2020-07-09,杏鲍菇(1),6.12,10.0,10.299,5.05
2020-07-09,泡泡椒(精品),4.75,8.0,31.46,7.08
2020-07-09,海鲜菇(1),10.03,17.0,1.5430000000000001,9.89
2020-07-09,灯笼椒(1),4.34,12.0,1.252,16.33
2020-07-09,甜白菜,4.44,8.0,13.772,9.43
2020-07-09,竹叶菜,2.84,6.0,17.546,13.62
2020-07-09,紫茄子(2),5.3,8.0,9.949,6.07
2020-07-09,红杭椒,6.26,16.0,1.888,9.99
2020-07-09,红椒(1),5.52,10.0,3.924,11.759999999999998
2020-07-09,红灯笼椒(1),12.24,18.0,0.156,8.93
2020-07-09,红薯尖,3.6,6.0,19.198,8.42
2020-07-09,苋菜,3.0800000000000005,5.0,9.78,18.52
2020-07-09,菜心,4.77,8.0,8.397,13.7
2020-07-09,螺丝椒,7.25,14.0,9.917,10.179999999999998
2020-07-09,西兰花,9.03,14.0,25.205000000000002,9.26
2020-07-09,西峡香菇(1),12.0,19.8,10.544,13.82
2020-07-09,金针菇(1),4.05,7.6,14.091,3.43
2020-07-09,青尖椒,4.81,8.0,3.058,6.72
2020-07-09,青梗散花,5.21,9.0,15.926,17.06
2020-07-09,青线椒,7.26,12.0,4.951,7.8
2020-07-09,青茄子(1),2.04,4.0,8.217,5.01
2020-07-09,高瓜(1),5.47,10.0,2.106,29.25
2020-07-09,黄心菜(1),4.46,8.0,11.616999999999999,10.64
2020-07-09,黄白菜(2),5.31,9.0,8.298,15.61
2020-07-10,七彩椒(1),7.349999999999999,14.0,1.052,15.979999999999999
2020-07-10,上海青,6.25,10.0,12.567,14.43
2020-07-10,云南油麦菜,3.75,6.0,27.308,12.81
2020-07-10,云南生菜,7.07,10.0,12.83,15.25
2020-07-10,净藕(1),9.0,16.0,6.2059999999999995,5.54
2020-07-10,外地茼蒿,9.81,18.0,0.835,26.16
2020-07-10,大白菜,2.1,4.0,15.905,22.27
2020-07-10,大龙茄子,8.11,12.0,6.67,10.94
2020-07-10,姬菇(1),7.86,14.0,1.272,8.99
2020-07-10,娃娃菜,4.06,6.9,9.0,2.48
2020-07-10,小白菜,10.429999999999998,16.0,7.114,7.589999999999999
2020-07-10,小米椒,10.2,25.8,3.486,5.859999999999999
2020-07-10,木耳菜,4.23,7.0,2.02,7.610000000000001
2020-07-10,杏鲍菇(1),6.11,10.0,11.098,5.05
2020-07-10,泡泡椒(精品),5.42,10.0,20.532,7.08
2020-07-10,海鲜菇(1),9.94,18.0,1.697,9.89
2020-07-10,牛首油菜,2.01,3.2,0.538,12.17
2020-07-10,甜白菜,5.29,8.0,13.133,9.43
2020-07-10,竹叶菜,2.62,6.0,8.396,13.62
2020-07-10,紫茄子(2),5.5,8.0,12.919,6.07
2020-07-10,红杭椒,6.11,16.0,1.7530000000000001,9.99
2020-07-10,红椒(1),5.51,10.0,2.4050000000000002,11.76
2020-07-10,红薯尖,3.6,6.0,16.458,8.42
2020-07-10,苋菜,2.41,5.0,5.964,18.52
2020-07-10,菜心,4.759999999999999,8.0,9.916,13.7
2020-07-10,螺丝椒,7.320000000000001,12.0,20.721,10.18
2020-07-10,蟹味菇(2),1.96,3.5,4.0,16.04
2020-07-10,西兰花,8.82,14.0,26.1,9.26
2020-07-10,西峡香菇(1),12.0,19.8,6.92,13.82
2020-07-10,金针菇(1),4.05,8.0,12.043,3.43
2020-07-10,青尖椒,4.83,8.0,2.933,6.720000000000001
2020-07-10,青梗散花,4.7,8.0,31.067,17.06
2020-07-10,青线椒,7.869999999999999,14.0,3.784,7.8
2020-07-10,青茄子(1),2.1,4.0,14.573,5.01
2020-07-10,高瓜(1),5.44,10.0,2.575,29.25
2020-07-10,黄心菜(1),4.46,8.0,1.755,10.64
2020-07-10,黄白菜(2),5.31,9.0,11.225,15.61
2020-07-11,七彩椒(1),8.3,14.0,1.3800000000000001,15.979999999999999
2020-07-11,上海青,6.25,10.0,20.957,14.43
2020-07-11,东门口小白菜,4.32,8.0,8.21,27.84
2020-07-11,云南油麦菜,3.75,6.0,42.764,12.81
2020-07-11,云南生菜,7.03,10.0,18.45,15.25
2020-07-11,净藕(1),9.0,16.0,5.942,5.54
2020-07-11,外地茼蒿,10.61,18.0,6.047,26.16
2020-07-11,大白菜,2.1,4.0,7.162,22.27
2020-07-11,姬菇(1),7.860000000000001,14.0,1.803,8.99
2020-07-11,娃娃菜,4.04,6.9,13.0,2.48
2020-07-11,小白菜,10.38,16.0,6.209,7.589999999999999
2020-07-11,小米椒,10.2,25.8,3.6149999999999998,5.86
2020-07-11,木耳菜,4.24,7.0,2.98,7.61
2020-07-11,杏鲍菇(1),6.11,10.0,13.06,5.05
2020-07-11,泡泡椒(精品),5.64,10.0,21.895,7.08
2020-07-11,海鲜菇(1),10.0,18.0,2.047,9.89
2020-07-11,灯笼椒(1),4.72,12.0,2.254,16.33
2020-07-11,甜白菜,5.05,8.0,30.629,9.43
2020-07-11,竹叶菜,2.37,5.0,20.175,13.62
2020-07-11,紫茄子(2),5.42,8.0,29.464,6.07
2020-07-11,红杭椒,6.37,16.0,3.436,9.99
2020-07-11,红椒(1),6.6,10.0,4.519,11.76
2020-07-11,红灯笼椒(1),11.9,18.0,1.613,8.93
2020-07-11,红薯尖,3.6,6.0,13.347,8.42
2020-07-11,苋菜,2.38,5.0,6.788,18.52
2020-07-11,菜心,4.77,8.0,12.184,13.7
2020-07-11,螺丝椒,7.51,12.0,32.347,10.18
2020-07-11,西兰花,8.91,14.0,33.401,9.26
2020-07-11,西峡香菇(1),12.0,19.8,17.622,13.82
2020-07-11,金针菇(1),4.13,8.0,14.025,3.43
2020-07-11,青梗散花,3.86,7.0,35.975,17.06
2020-07-11,青线椒,8.15,14.0,6.394,7.8
2020-07-11,青茄子(1),2.19,4.0,30.858999999999998,5.01
2020-07-11,高瓜(1),5.41,10.0,1.464,29.25
2020-07-11,黄白菜(2),5.3100000000000005,9.0,29.232,15.610000000000001
2020-07-12,七彩椒(1),7.830000000000001,16.0,1.596,15.979999999999999
2020-07-12,上海青,6.25,10.0,12.99,14.43
2020-07-12,东门口小白菜,4.26,8.0,5.838,27.84
2020-07-12,云南油麦菜,3.75,6.0,58.774,12.81
2020-07-12,云南生菜,6.92,10.0,26.44,15.25
2020-07-12,净藕(1),9.0,16.0,8.26,5.54
2020-07-12,外地茼蒿,11.06,18.0,2.376,26.16
2020-07-12,大白菜,2.1,4.0,14.071,22.27
2020-07-12,大龙茄子,5.34,10.0,14.940999999999999,10.94
2020-07-12,姬菇(1),7.81,14.0,1.78,8.99
2020-07-12,娃娃菜,4.05,6.9,15.0,2.48
2020-07-12,小白菜,10.390000000000002,16.0,6.178,7.59
2020-07-12,小米椒,10.19,25.8,4.652,5.86
2020-07-12,木耳菜,4.43,7.0,5.1739999999999995,7.61
2020-07-12,杏鲍菇(1),6.08,10.0,16.361,5.05
2020-07-12,泡泡椒(精品),6.08,10.0,34.847,7.08
2020-07-12,洪湖藕带,24.05,29.8,2.461,24.05
2020-07-12,海鲜菇(1),10.01,18.0,1.719,9.89
2020-07-12,灯笼椒(1),7.38,12.0,1.185,16.33
2020-07-12,甜白菜,4.94,8.0,29.351,9.43
2020-07-12,白玉菇(2),2.07,3.5,4.0,7.3
2020-07-12,竹叶菜,2.24,5.0,30.973,13.62
2020-07-12,紫茄子(2),5.05,8.0,36.555,6.07
2020-07-12,红杭椒,6.72,16.0,2.289,9.99
2020-07-12,红椒(1),5.56,10.0,5.96,11.76
2020-07-12,红灯笼椒(1),11.37,18.0,1.091,8.93
2020-07-12,红薯尖,3.6,6.0,10.118,8.42
2020-07-12,苋菜,2.39,5.0,7.087,18.52
2020-07-12,菜心,4.86,8.0,17.37,13.7
2020-07-12,螺丝椒,6.27,12.0,5.429,10.18
2020-07-12,西兰花,8.49,14.0,37.049,9.26
2020-07-12,西峡香菇(1),12.0,19.8,14.682,13.82
2020-07-12,金针菇(1),4.25,8.0,12.232,3.43
2020-07-12,青尖椒,4.94,8.0,2.997,6.72
2020-07-12,青梗散花,3.48,7.0,26.955,17.06
2020-07-12,青线椒,7.910000000000001,12.0,5.836,7.8
2020-07-12,青茄子(1),2.22,4.0,21.634,5.01
2020-07-12,高瓜(1),5.41,10.0,1.904,29.25
2020-07-12,黄白菜(2),5.31,9.0,29.615,15.61
2020-07-13,七彩椒(1),8.8,18.0,0.879,15.98
2020-07-13,上海青,6.25,10.0,11.174,14.43
2020-07-13,东门口小白菜,3.76,8.0,7.318,27.840000000000003
2020-07-13,云南油麦菜,3.75,6.0,23.868,12.81
2020-07-13,云南生菜,6.92,10.0,30.459,15.25
2020-07-13,净藕(1),9.0,16.0,7.9559999999999995,5.54
2020-07-13,大白菜,2.1,4.0,16.508,22.27
2020-07-13,大龙茄子,4.28,10.0,8.609,10.94
2020-07-13,姬菇(1),7.840000000000001,14.0,1.309,8.99
2020-07-13,娃娃菜,4.05,6.9,7.0,2.48
2020-07-13,小白菜,10.35,16.0,3.605,7.59
