,日期,单品名称,批发价格(元/千克)_否,销售单价(元/千克)_否,销量(千克)_否,损耗率(%)_否
423,2020-07-12,菜心,4.86,8.0,17.37,13.7
424,2020-07-12,螺丝椒,6.27,12.0,5.429,10.18
425,2020-07-12,西兰花,8.49,14.0,37.049,9.26
431,2020-07-12,青茄子(1),2.22,4.0,21.634,5.01
432,2020-07-12,高瓜(1),5.41,10.0,1.904,29.25
435,2020-07-13,上海青,6.25,10.0,11.174,14.43
437,2020-07-13,云南油麦菜,3.75,6.0,23.868,12.81
438,2020-07-13,云南生菜,6.92,10.0,30.459,15.25
439,2020-07-13,净藕(1),9.0,16.0,7.955999999999999,5.54
443,2020-07-13,娃娃菜,4.05,6.9,7.0,2.48
446,2020-07-13,木耳菜,4.25,7.0,3.153,7.61
452,2020-07-13,竹叶菜,2.17,4.0,10.505,13.62
453,2020-07-13,紫茄子(2),5.42,8.0,19.049,6.07
457,2020-07-13,红薯尖,3.6,6.0,12.424,8.42
458,2020-07-13,菜心,4.92,8.0,5.414,13.7
459,2020-07-13,螺丝椒,6.27,10.0,11.066,10.18
460,2020-07-13,西兰花,8.29,14.0,15.209,9.26
466,2020-07-13,青茄子(1),2.2,4.0,15.604,5.01
467,2020-07-13,高瓜(1),5.4,10.0,2.386,29.25
470,2020-07-14,上海青,6.0,10.0,10.514,14.43
472,2020-07-14,云南油麦菜,3.75,6.0,30.503,12.81
473,2020-07-14,云南生菜,6.92,10.0,24.081,15.25
474,2020-07-14,净藕(1),8.0,16.0,7.359,5.54
478,2020-07-14,娃娃菜,4.0,6.9,14.0,2.48
481,2020-07-14,木耳菜,4.27,7.0,3.712,7.61
489,2020-07-14,竹叶菜,1.76,4.0,11.483,13.62
490,2020-07-14,紫茄子(2),5.67,8.0,11.68,6.07
494,2020-07-14,红薯尖,3.2,6.0,34.597,8.42
495,2020-07-14,菜心,4.88,8.0,9.55,13.7
496,2020-07-14,螺丝椒,6.4,10.0,20.757,10.18
497,2020-07-14,西兰花,7.79,14.0,25.29,9.26
503,2020-07-14,青茄子(1),2.16,4.0,14.097,5.01
504,2020-07-14,高瓜(1),5.24,10.0,1.323,29.25
507,2020-07-15,上海青,5.7,10.0,15.176,14.43
509,2020-07-15,云南油麦菜,3.75,6.0,40.792,12.81
510,2020-07-15,云南生菜,6.91,10.0,23.083,15.25
511,2020-07-15,净藕(1),8.0,16.0,8.040000000000001,5.54
515,2020-07-15,娃娃菜,4.03,6.900000000000001,12.0,2.48
517,2020-07-15,木耳菜,4.26,7.0,5.517,7.61
525,2020-07-15,竹叶菜,1.77,4.0,13.744,13.62
526,2020-07-15,紫茄子(2),5.69,8.0,13.435,6.07
530,2020-07-15,红薯尖,3.2,6.0,15.134,8.42
531,2020-07-15,菜心,4.91,8.0,9.724,13.7
532,2020-07-15,螺丝椒,6.38,10.0,19.574,10.18
533,2020-07-15,西兰花,7.760000000000001,14.0,17.069,9.26
539,2020-07-15,青茄子(1),2.49,4.6,14.629,5.01
540,2020-07-15,高瓜(1),5.24,10.0,1.575,29.25
543,2020-07-16,上海青,5.67,10.0,13.959,14.43
545,2020-07-16,云南油麦菜,3.75,6.0,41.056,12.81
546,2020-07-16,云南生菜,6.8,10.0,22.349,15.25
547,2020-07-16,净藕(1),8.0,16.0,7.747,5.54
552,2020-07-16,娃娃菜,4.07,6.700000000000001,7.0,2.48
555,2020-07-16,木耳菜,4.26,7.0,5.433,7.61
562,2020-07-16,竹叶菜,1.76,4.0,17.597,13.62
563,2020-07-16,紫茄子(2),5.660000000000001,8.0,5.989,6.07
567,2020-07-16,红薯尖,3.2,6.0,15.185,8.42
568,2020-07-16,菜心,4.47,8.0,10.788,13.7
569,2020-07-16,螺丝椒,6.239999999999999,10.0,16.03,10.18
570,2020-07-16,西兰花,7.74,14.0,22.106,9.26
576,2020-07-16,青茄子(1),2.46,4.6,9.152,5.01
577,2020-07-16,高瓜(1),5.26,10.0,2.436,29.25
580,2020-07-17,上海青,5.67,10.0,7.589,14.43
582,2020-07-17,云南油麦菜,3.75,6.0,31.655,12.81
583,2020-07-17,云南生菜,6.8,10.0,23.796,15.25
584,2020-07-17,净藕(1),8.0,16.0,7.809,5.54
589,2020-07-17,娃娃菜,4.08,6.421428571428572,3.0,2.48
592,2020-07-17,木耳菜,4.27,7.0,4.271,7.610000000000001
599,2020-07-17,竹叶菜,1.76,4.0,11.735,13.619999999999996
600,2020-07-17,紫茄子(2),5.14,8.0,13.51,6.069999999999999
604,2020-07-17,红薯尖,3.2,6.0,15.016,8.42
605,2020-07-17,苋菜,3.26,5.0,4.9190000000000005,18.52
606,2020-07-17,菜心,4.4,8.0,9.849,13.7
607,2020-07-17,螺丝椒,6.24,10.0,10.476,10.18
608,2020-07-17,西兰花,7.72,14.0,21.793,9.26
614,2020-07-17,青茄子(1),2.45,4.6,7.533,5.01
615,2020-07-17,高瓜(1),5.42,10.0,2.918,29.25
618,2020-07-18,上海青,5.38,10.0,18.321,14.43
619,2020-07-18,云南油麦菜,3.75,6.0,40.303,12.81
620,2020-07-18,云南生菜,6.8,10.0,35.317,15.25
621,2020-07-18,净藕(1),8.0,16.0,6.09,5.54
626,2020-07-18,娃娃菜,4.08,6.825,10.0,2.48
629,2020-07-18,木耳菜,4.35,7.0,5.746,7.61
636,2020-07-18,竹叶菜,1.76,4.0,8.314,13.62
637,2020-07-18,紫茄子(2),5.14,8.0,15.339,6.07
641,2020-07-18,红薯尖,2.83,5.0,37.904,8.42
642,2020-07-18,苋菜,3.22,5.0,5.582,18.52
643,2020-07-18,菜心,4.37,8.0,18.019,13.7
644,2020-07-18,螺丝椒,6.120000000000001,10.0,21.417,10.18
645,2020-07-18,西兰花,7.75,14.0,28.677,9.26
651,2020-07-18,青茄子(1),2.55,4.6,20.066,5.01
652,2020-07-18,高瓜(1),5.45,10.0,1.152,29.25
655,2020-07-19,上海青,5.33,10.0,27.866,14.43
656,2020-07-19,云南油麦菜,3.78,6.0,66.48,12.81
657,2020-07-19,云南生菜,6.8,9.988505747126435,32.322,15.25
658,2020-07-19,净藕(1),8.0,16.0,6.339,5.54
663,2020-07-19,娃娃菜,4.06,6.9,10.0,2.48
666,2020-07-19,木耳菜,4.37,7.0,2.751,7.61
673,2020-07-19,竹叶菜,2.1,4.0,18.243,13.62
674,2020-07-19,紫茄子(2),5.14,8.0,32.134,6.07
678,2020-07-19,红薯尖,2.8,5.0,10.538,8.42
679,2020-07-19,菜心,4.38,8.0,10.781,13.7
680,2020-07-19,螺丝椒,6.15,9.0,31.005,10.18
681,2020-07-19,西兰花,7.86,14.0,39.511,9.26
687,2020-07-19,青茄子(1),2.71,6.0,14.031,5.01
688,2020-07-19,高瓜(1),5.43,10.0,1.865,29.25
691,2020-07-20,上海青,5.33,10.0,12.659,14.43
692,2020-07-20,云南油麦菜,3.830000000000001,6.0,10.522,12.81
693,2020-07-20,云南生菜,6.8,10.0,28.157,15.25
694,2020-07-20,净藕(1),8.0,16.0,6.577,5.54
699,2020-07-20,娃娃菜,4.07,6.9,7.0,2.48
702,2020-07-20,木耳菜,4.37,7.0,3.096,7.61
708,2020-07-20,竹叶菜,2.18,4.0,10.78,13.62
709,2020-07-20,紫茄子(2),5.14,8.0,12.457,6.07
713,2020-07-20,红薯尖,2.8,4.836538461538462,41.474,8.42
714,2020-07-20,菜心,4.38,8.0,10.628,13.7
715,2020-07-20,螺丝椒,6.21,9.0,19.634,10.18
716,2020-07-20,西兰花,7.86,14.0,15.753,9.26
722,2020-07-20,青茄子(1),2.7099999999999995,6.0,6.104,5.01
723,2020-07-20,高瓜(1),5.44,10.0,2.426,29.25
726,2020-07-21,上海青,5.33,7.0,14.373,14.43
727,2020-07-21,云南油麦菜,3.75,7.0,23.025,12.81
728,2020-07-21,云南生菜,6.66,10.0,32.514,15.25
729,2020-07-21,净藕(1),8.0,16.0,7.397,5.54
734,2020-07-21,娃娃菜,4.07,6.9,11.0,2.48
737,2020-07-21,木耳菜,4.29,7.0,3.21,7.61
740,2020-07-21,洪湖藕带,20.0,25.8,2.093,24.05
745,2020-07-21,竹叶菜,2.17,4.0,9.848,13.62
746,2020-07-21,紫茄子(2),5.14,8.0,11.416,6.07
750,2020-07-21,红薯尖,2.8,5.0,19.28,8.42
751,2020-07-21,苋菜,3.37,6.0,7.761,18.52
752,2020-07-21,菜心,4.33,8.0,11.105,13.7
753,2020-07-21,螺丝椒,5.28,9.0,11.763,10.18
754,2020-07-21,西兰花,7.77,14.0,19.009,9.26
760,2020-07-21,青茄子(1),3.0,5.6,8.190999999999999,5.01
761,2020-07-21,高瓜(1),5.51,10.0,1.955,29.25
764,2020-07-22,上海青,4.57,7.0,13.227,14.43
765,2020-07-22,云南油麦菜,3.75,8.0,15.377,12.81
766,2020-07-22,云南生菜,6.54,10.0,26.902,15.25
767,2020-07-22,净藕(1),8.0,16.0,6.144,5.54
772,2020-07-22,娃娃菜,4.07,6.9,13.0,2.48
775,2020-07-22,木耳菜,4.3,7.0,4.859,7.61
778,2020-07-22,洪湖藕带,20.0,29.8,1.134,24.05
782,2020-07-22,竹叶菜,2.17,4.0,20.378,13.62
783,2020-07-22,紫茄子(2),4.73,8.0,16.456,6.07
787,2020-07-22,红薯尖,2.8,5.0,26.177,8.42
788,2020-07-22,苋菜,3.5,6.0,3.143,18.52
789,2020-07-22,菜心,4.2,8.0,9.136,13.7
790,2020-07-22,螺丝椒,5.07,8.0,31.824,10.18
791,2020-07-22,西兰花,7.75,14.0,23.685,9.26
797,2020-07-22,青茄子(1),3.04,5.6,16.543,5.01
798,2020-07-22,高瓜(1),5.5200000000000005,12.0,2.521,29.25
801,2020-07-23,上海青,4.19,9.0,12.108,14.43
802,2020-07-23,云南油麦菜,4.27,8.0,16.717,12.81
803,2020-07-23,云南生菜,6.15,10.0,17.92,15.25
804,2020-07-23,净藕(1),8.0,16.0,7.659,5.54
809,2020-07-23,娃娃菜,4.05,6.9,10.0,2.48
812,2020-07-23,木耳菜,4.26,7.0,4.974,7.61
819,2020-07-23,竹叶菜,2.6,4.0,12.263,13.62
820,2020-07-23,紫茄子(2),4.7700000000000005,8.0,16.883,6.07
824,2020-07-23,红薯尖,2.8,5.0,27.991,8.42
825,2020-07-23,苋菜,4.26,7.599999999999999,4.5,18.52
827,2020-07-23,菜心,4.36,8.0,10.388,13.7
828,2020-07-23,螺丝椒,5.11,8.0,9.537,10.18
829,2020-07-23,西兰花,8.26,14.0,17.571,9.26
835,2020-07-23,青茄子(1),3.4599999999999995,5.6,12.186,5.01
836,2020-07-23,高瓜(1),6.49,12.0,2.314,29.25
839,2020-07-24,上海青,4.19,9.0,12.92,14.43
840,2020-07-24,云南油麦菜,4.37,8.0,18.949,12.81
841,2020-07-24,云南生菜,6.15,10.0,19.754,15.25
842,2020-07-24,净藕(1),8.0,16.0,7.529,5.54
846,2020-07-24,娃娃菜,4.03,6.9,9.0,2.48
849,2020-07-24,木耳菜,4.24,7.0,1.82,7.61
852,2020-07-24,洪湖藕带,22.0,31.8,1.226,24.05
857,2020-07-24,竹叶菜,2.79,4.0,16.784,13.62
858,2020-07-24,紫茄子(2),5.18,8.0,18.9,6.07
861,2020-07-24,红薯尖,2.8,4.442424242424242,27.049,8.42
862,2020-07-24,菜心,4.34,8.0,9.36,13.7
863,2020-07-24,螺丝椒,5.06,8.0,6.679,10.18
864,2020-07-24,西兰花,8.63,14.0,16.816,9.26
870,2020-07-24,青茄子(1),3.39,5.6,3.656,5.01
871,2020-07-24,高瓜(1),6.88,12.0,2.228,29.25
874,2020-07-25,上海青,4.97,9.0,13.431,14.43
875,2020-07-25,云南油麦菜,4.38,8.0,27.562,12.81
876,2020-07-25,云南生菜,6.15,10.0,46.055,15.25
877,2020-07-25,净藕(1),8.0,16.0,6.264,5.54
882,2020-07-25,娃娃菜,4.03,6.9,16.0,2.48
885,2020-07-25,木耳菜,4.23,7.0,1.963,7.610000000000001
892,2020-07-25,竹叶菜,3.2,5.0,13.613,13.62
893,2020-07-25,紫茄子(2),5.2,8.0,11.682,6.07
897,2020-07-25,红薯尖,2.8,5.0,13.096,8.42
898,2020-07-25,苋菜,4.22,7.0,5.676,18.52
899,2020-07-25,菜心,4.33,8.0,16.735,13.7
900,2020-07-25,螺丝椒,5.06,8.0,10.628,10.18
901,2020-07-25,西兰花,9.18,14.0,25.673,9.26
907,2020-07-25,青茄子(1),3.55,5.6,10.702,5.01
908,2020-07-25,高瓜(1),6.92,12.0,1.252,29.25
910,2020-07-26,上海青,5.0,9.0,19.404,14.43
911,2020-07-26,云南油麦菜,4.37,8.0,19.739,12.81
912,2020-07-26,云南生菜,6.15,10.0,48.384,15.25
913,2020-07-26,净藕(1),8.0,16.0,5.938,5.54
918,2020-07-26,娃娃菜,4.03,6.9,16.0,2.48
921,2020-07-26,木耳菜,4.23,7.0,1.849,7.61
924,2020-07-26,洪湖藕带,22.0,31.8,2.347,24.05
929,2020-07-26,竹叶菜,3.34,5.0,7.21,13.62
930,2020-07-26,紫茄子(2),5.29,9.0,24.412,6.07
934,2020-07-26,红薯尖,3.2,6.0,17.544,8.42
935,2020-07-26,苋菜,4.23,7.0,7.278,18.52
936,2020-07-26,菜心,4.48,8.0,20.79,13.699999999999998
937,2020-07-26,螺丝椒,5.11,8.0,12.883,10.18
938,2020-07-26,西兰花,9.42,14.0,30.532,9.26
944,2020-07-26,青茄子(1),3.84,6.0,20.924,5.01
945,2020-07-26,高瓜(1),7.08,12.0,2.746,29.25
948,2020-07-27,上海青,5.0,9.0,17.352,14.43
949,2020-07-27,云南油麦菜,4.38,8.0,31.279,12.81
950,2020-07-27,云南生菜,6.15,12.0,22.398,15.25
951,2020-07-27,净藕(1),7.630000000000001,12.0,13.081,5.54
956,2020-07-27,娃娃菜,4.04,6.9,9.0,2.48
961,2020-07-27,洪湖藕带,22.0,31.8,1.536,24.05
967,2020-07-27,竹叶菜,3.43,5.0,12.35,13.62
968,2020-07-27,紫茄子(2),5.81,9.0,9.768,6.07
972,2020-07-27,红薯尖,3.6,6.0,12.675,8.42
973,2020-07-27,苋菜,4.23,7.0,4.67,18.52
974,2020-07-27,菜心,4.52,8.0,9.275,13.7
975,2020-07-27,螺丝椒,5.1,8.0,13.287,10.18
976,2020-07-27,西兰花,9.44,14.0,18.626,9.26
982,2020-07-27,青茄子(1),4.16,6.0,8.194,5.01
983,2020-07-27,高瓜(1),6.65,14.0,1.819,29.25
986,2020-07-28,上海青,5.0,9.0,9.533,14.43
987,2020-07-28,云南油麦菜,4.38,8.0,19.403,12.81
988,2020-07-28,云南生菜,6.15,12.0,17.319,15.25
989,2020-07-28,净藕(1),7.4,12.0,11.479,5.54
994,2020-07-28,娃娃菜,4.05,6.9,7.0,2.48
997,2020-07-28,木耳菜,4.26,7.0,1.605,7.61
1005,2020-07-28,竹叶菜,3.4400000000000004,5.0,8.791,13.62
1006,2020-07-28,紫茄子(2),5.72,9.0,13.888,6.07
1010,2020-07-28,红薯尖,3.6000000000000005,6.0,10.287,8.42
1011,2020-07-28,苋菜,4.28,7.0,6.548,18.52
1012,2020-07-28,菜心,4.55,8.0,11.104,13.7
1013,2020-07-28,螺丝椒,4.83,8.0,8.836,10.18
1014,2020-07-28,西兰花,9.44,14.0,15.352,9.26
1020,2020-07-28,青茄子(1),4.2,6.0,7.559,5.01
1021,2020-07-28,高瓜(1),6.39,12.0,2.029,29.25
1024,2020-07-29,上海青,5.0,9.0,12.899,14.43
1025,2020-07-29,云南油麦菜,4.69,8.0,20.026,12.81
1026,2020-07-29,云南生菜,6.15,12.0,16.486,15.25
1027,2020-07-29,净藕(1),7.4,12.0,15.987,5.54
1032,2020-07-29,娃娃菜,4.08,6.9,9.0,2.48
1035,2020-07-29,木耳菜,4.31,7.0,1.676,7.610000000000001
1042,2020-07-29,竹叶菜,3.43,5.0,12.516,13.62
1043,2020-07-29,紫茄子(2),5.57,9.0,15.178,6.07
1047,2020-07-29,红薯尖,3.6,6.0,14.249,8.42
1048,2020-07-29,菜心,4.53,8.0,18.564,13.7
1049,2020-07-29,螺丝椒,4.72,8.0,11.505,10.18
1050,2020-07-29,西兰花,9.43,14.0,22.603,9.26
1056,2020-07-29,青茄子(1),4.19,6.0,7.509,5.01
1057,2020-07-29,高瓜(1),6.39,14.0,2.067,29.25
