,分类名称,批发价格(元/千克)_否,批发价格(元/千克)_是,销售单价(元/千克)_否,销售单价(元/千克)_是,销量(千克)_否,销量(千克)_是,销量_zscore,销售单价_zscore,日期
252,水生根茎类,7.912105263157895,0.0,12.33684210526316,0.0,27.355,0.0,-0.21515811866374124,0.46715532362137013,2020-08-12
258,水生根茎类,8.61909090909091,0.0,13.154545454545454,0.0,19.324,0.0,-0.47369798154266274,0.6796685235469881,2020-08-13
264,水生根茎类,6.239,0.0,10.282,0.0,29.991,0.0,-0.13029806654708864,-0.06687828589563531,2020-08-14
270,水生根茎类,8.657872340425532,0.0,12.98723404255319,0.0,25.642,0.0,-0.27030427544516233,0.6361859041132324,2020-08-15
276,水生根茎类,6.741538461538462,0.0,10.626923076923076,0.0,24.454,0.0,-0.30854924582247006,0.022763889190781587,2020-08-16
282,水生根茎类,8.38125,0.0,12.4875,0.0,15.916,0.0,-0.5834108258573638,0.5063098548247512,2020-08-17
288,水生根茎类,7.022105263157894,0.0,10.263157894736842,0.0,21.753,0.0,-0.39550182577963194,-0.071775167003342,2020-08-18
294,水生根茎类,7.323142857142857,0.0,11.045714285714286,0.0,17.95,0.0,-0.5179308008174278,0.13160367804459122,2020-08-19
300,水生根茎类,7.19,0.0,10.816666666666668,0.0,22.966,0.0,-0.3564520370021283,0.07207641488506479,2020-08-20
306,水生根茎类,5.875,0.0,9.175925925925927,0.0,34.598,0.0,0.018013868241006398,-0.35433625099087024,2020-08-21
312,水生根茎类,7.007407407407407,0.0,10.238888888888887,0.0,42.772,0.0,0.2811572923690483,-0.07808244713896734,2020-08-22
318,水生根茎类,6.4862068965517246,0.0,9.760344827586207,0.0,46.057,0.0,0.3869104301547858,-0.20245142503552846,2020-08-23
324,水生根茎类,7.048108108108107,0.0,10.935135135135136,0.0,20.305,0.0,-0.4421169075189768,0.10286522521171755,2020-08-24
330,水生根茎类,7.674999999999999,0.0,11.757142857142858,0.0,20.062,0.0,-0.4499397423688806,0.3164970900203353,2020-08-25
336,水生根茎类,7.824871794871795,0.0,11.73846153846154,0.0,18.95,0.0,-0.48573806480959303,0.3116419957917477,2020-08-26
342,水生根茎类,7.737142857142857,0.0,13.171428571428573,0.0,19.487,0.0,-0.46845056557338577,0.6840562825022362,2020-08-27
348,水生根茎类,7.928936170212765,0.0,13.67659574468085,0.0,20.997,0.0,-0.4198395342015551,0.8153443499651452,2020-08-28
354,水生根茎类,5.711636363636363,0.0,8.469090909090909,0.0,65.814,0.0,1.0229423154615782,-0.5380358425101299,2020-08-29
360,水生根茎类,6.823870967741935,0.0,10.883870967741936,0.0,30.005,0.0,-0.129847368242979,0.08954216341453475,2020-08-30
366,水生根茎类,6.135113636363636,0.0,9.061363636363636,0.0,52.949,0.0,0.6087827667207834,-0.38410988316084554,2020-08-31
372,水生根茎类,6.634285714285714,0.0,9.548051948051947,0.0,47.658,0.0,0.43845100050332936,-0.2576242932778407,2020-09-01
378,水生根茎类,6.258823529411764,0.0,9.347058823529412,0.0,17.941,0.0,-0.5182205354414984,-0.3098604643694992,2020-09-02
384,水生根茎类,5.684193548387097,0.0,8.774193548387096,0.0,15.996,0.0,-0.580835406976737,-0.4587426144225923,2020-09-03
390,水生根茎类,5.477567567567567,0.0,9.405405405405403,0.0,16.635,0.0,-0.5602642486677306,-0.2946967514776882,2020-09-04
396,水生根茎类,5.215569620253165,0.0,7.934177215189873,0.0,42.554,0.0,0.2741392759193404,-0.6770547432822943,2020-09-05
402,水生根茎类,5.193600000000001,5.2,7.775999999999999,7.0,42.579,4.384,0.27494409431953626,-0.7181634732206359,2020-09-06
408,水生根茎类,5.192622950819672,5.2,7.960655737704918,5.599999999999999,37.689,1.237,0.1175216152412239,-0.6701732311129807,2020-09-07
414,水生根茎类,5.2,0.0,8.0,0.0,19.127,0.0,-0.4800399505362063,-0.6599480374820881,2020-09-08
420,水生根茎类,5.5616666666666665,0.0,9.0,0.0,12.161,0.0,-0.7042945495667836,-0.40005769936357244,2020-09-09
426,水生根茎类,5.575357142857143,0.0,8.642857142857142,0.0,14.492,0.0,-0.6292532819325206,-0.49287567726304243,2020-09-10
432,水生根茎类,5.4496153846153845,0.0,8.692307692307692,0.0,13.364,0.0,-0.6655666881493584,-0.48002395724619285,2020-09-11
438,水生根茎类,5.6,0.0,8.0,0.0,16.957,0.0,-0.5498981876732078,-0.6599480374820881,2020-09-12
444,水生根茎类,5.473333333333334,0.0,8.952380952380953,0.0,18.739,0.0,-0.4925307321072461,-0.4124334297501684,2020-09-13
450,水生根茎类,5.564615384615385,0.0,8.923076923076923,0.0,17.361,0.0,-0.5368923223260426,-0.4200492638342274,2020-09-14
456,水生根茎类,5.777555555555556,0.0,10.266666666666667,0.0,19.219,0.0,-0.4770782188234854,-0.07086327108011901,2020-09-15
462,水生根茎类,5.824137931034483,5.6,8.206896551724139,6.0,15.501,3.317,-0.5967708113006154,-0.6061776226989467,2020-09-16
468,水生根茎类,5.5,0.0,7.0,0.0,17.437,0.0,-0.534445674389447,-0.9198383756006038,2020-09-17
474,水生根茎类,5.786666666666666,0.0,8.166666666666666,0.0,11.389,0.0,-0.7291473417648322,-0.6166329811290023,2020-09-18
480,水生根茎类,5.686176470588236,0.0,8.441176470588236,0.0,39.431,0.0,0.17360136136687207,-0.5452905353709782,2020-09-19
486,水生根茎类,5.82125,0.0,8.375,0.0,39.551,0.0,0.17746448968781242,-0.5624891606876448,2020-09-20
492,水生根茎类,5.77,0.0,8.0,0.0,16.289,0.0,-0.5714029353264415,-0.6599480374820881,2020-09-21
498,水生根茎类,6.00878787878788,0.0,8.454545454545455,0.0,37.808,0.0,0.12135255082615623,-0.5418160656100354,2020-09-22
504,水生根茎类,7.333333333333333,0.0,9.0,0.0,18.629,0.0,-0.49607193306810793,-0.40005769936357244,2020-09-23
510,水生根茎类,5.686162790697674,5.6,8.209302325581396,6.0,46.652,5.234,0.4060651080794475,-0.6055523853177476,2020-09-24
516,水生根茎类,6.111666666666666,0.0,9.0,0.0,22.732,0.0,-0.3639851372279617,-0.40005769936357244,2020-09-25
522,水生根茎类,5.960707964601769,0.0,8.424778761061948,0.0,65.744,0.0,1.02068882394103,-0.5495521416441344,2020-09-26
528,水生根茎类,5.981224489795918,0.0,8.489795918367347,0.0,28.289,0.0,-0.18509010323242348,-0.5326548106485293,2020-09-27
534,水生根茎类,6.078749999999999,0.0,8.75,0.0,11.861,0.0,-0.7139523703691341,-0.46503028389320133,2020-09-28
540,水生根茎类,5.974166666666666,0.0,8.5,0.0,24.135,0.0,-0.31881872860896937,-0.5300028684228303,2020-09-29
546,水生根茎类,5.930566037735849,0.0,8.452830188679245,0.0,36.839,0.0,0.09015778963456424,-0.5422618466359679,2020-09-30
552,水生根茎类,5.881136363636363,0.0,8.318181818181818,0.0,55.356,0.0,0.6862706822916419,-0.5772556571716513,2020-10-01
558,水生根茎类,5.975135135135135,0.0,8.972972972972974,0.0,21.931,0.0,-0.38977151877023736,-0.40708176255596457,2020-10-02
564,水生根茎类,5.88,0.0,8.666666666666666,0.0,18.497,0.0,-0.5003213742211422,-0.4866878120697445,2020-10-03
570,水生根茎类,5.813448275862069,0.0,8.413793103448276,0.0,19.254,0.0,-0.4759514730632112,-0.5524072079158058,2020-10-04
576,水生根茎类,5.811186440677966,0.0,8.372881355932204,0.0,79.752,0.0,1.4716446699387802,-0.563039775810777,2020-10-05
582,水生根茎类,5.805365853658536,0.0,8.195121951219512,0.0,25.784,0.0,-0.2657329069320498,-0.6092377276053045,2020-10-06
588,水生根茎类,5.802619047619047,5.8,8.095238095238095,6.0,52.071,0.836,0.5805175445059043,-0.6351965767088963,2020-10-07
594,水生根茎类,5.805283018867924,0.0,8.30188679245283,0.0,31.952,0.0,-0.06716811123572447,-0.581490576918008,2020-10-08
600,水生根茎类,5.793513513513513,5.8,8.162162162162161,5.0,45.216,6.26,0.3598363391721967,-0.6178036583277344,2020-10-09
606,水生根茎类,5.790810810810811,0.0,8.108108108108109,0.0,22.07,0.0,-0.38529672846514834,-0.6318517847125187,2020-10-10
612,水生根茎类,5.684947368421053,0.0,8.08421052631579,0.0,57.223,0.0,0.7463745204182695,-0.6380625353247393,2020-10-11
618,水生根茎类,5.768367346938775,5.8,8.408163265306122,6.0,29.969,8.364,-0.13100630673926097,-0.5538703484541226,2020-10-12
624,水生根茎类,5.7663414634146335,5.8,8.146341463414634,6.0,46.823,3.696,0.41157006593678724,-0.6219153050745004,2020-10-13
630,水生根茎类,5.66,0.0,8.0,0.0,46.207,0.0,0.391739340555961,-0.6599480374820881,2020-10-14
636,水生根茎类,5.8,5.8,8.0,6.0,35.355,6.807,0.042383769398937295,-0.6599480374820881,2020-10-15
642,水生根茎类,5.8,5.8,8.0,6.0,52.785,6.188000000000001,0.6035031580154984,-0.6599480374820881,2020-10-16
648,水生根茎类,5.8,5.8,8.0,6.0,84.728,2.3920000000000003,1.6318357243137662,-0.6599480374820881,2020-10-17
654,水生根茎类,5.8,5.8,8.0,6.0,75.006,4.332,1.3188579448455964,-0.6599480374820881,2020-10-18
660,水生根茎类,5.69,5.69,8.0,6.0,39.38,1.22,0.17195953183047266,-0.6599480374820881,2020-10-19
666,水生根茎类,5.71,5.71,8.0,6.0,46.423,3.011,0.39869297153365335,-0.6599480374820881,2020-10-20
672,水生根茎类,5.799999999999999,5.8,8.0,6.0,17.773,3.428,-0.5236289150908146,-0.6599480374820881,2020-10-21
678,水生根茎类,5.8,5.8,8.0,6.0,28.709,7.208,-0.1715691541091329,-0.6599480374820881,2020-10-22
684,水生根茎类,5.783095238095238,5.8,8.095238095238095,6.0,29.948,0.853,-0.1316823541954255,-0.6351965767088963,2020-10-23
690,水生根茎类,5.6,5.6,8.0,6.0,60.756,7.176,0.86011145673395,-0.6599480374820881,2020-10-24
696,水生根茎类,5.780000000000001,5.78,8.0,6.0,63.082,8.078,0.9349917606881738,-0.6599480374820881,2020-10-25
702,水生根茎类,5.8,0.0,8.0,0.0,20.666,0.0,-0.43049532982014843,-0.6599480374820881,2020-10-26
708,水生根茎类,5.8,5.8,8.0,6.0,20.755,0.518,-0.42763017631545114,-0.6599480374820881,2020-10-27
714,水生根茎类,5.8,5.799999999999999,8.0,6.0,14.625,17.793,-0.6249716480434786,-0.6599480374820881,2020-10-28
720,水生根茎类,5.8,0.0,8.0,0.0,15.828,0.0,-0.5862437866260534,-0.6599480374820881,2020-10-29
726,水生根茎类,5.8,5.8,8.0,6.0,17.029,1.7400000000000002,-0.5475803106806437,-0.6599480374820881,2020-10-30
732,水生根茎类,5.8,5.8,8.0,6.0,73.563,5.702,1.2724038267862907,-0.6599480374820881,2020-10-31
738,水生根茎类,5.8,5.8,8.0,6.0,54.875,16.457,0.6707859762718733,-0.6599480374820881,2020-11-01
744,水生根茎类,5.8,0.0,8.0,0.0,15.053,0.0,-0.6111931570321253,-0.6599480374820881,2020-11-02
750,水生根茎类,5.65,5.65,8.0,6.0,14.238,1.489,-0.6374302368785107,-0.6599480374820881,2020-11-03
756,水生根茎类,5.8,0.0,8.0,0.0,18.183,0.0,-0.5104298933276024,-0.6599480374820881,2020-11-04
762,水生根茎类,5.8,0.0,8.0,0.0,8.347,0.0,-0.8270776447006657,-0.6599480374820881,2020-11-05
768,水生根茎类,5.61,5.61,8.0,6.0,11.57,1.873,-0.7233204565474141,-0.6599480374820881,2020-11-06
774,水生根茎类,5.79,5.79,8.0,6.0,60.508,10.905,0.8521276582040069,-0.6599480374820881,2020-11-07
780,水生根茎类,5.8,5.8,8.0,6.0,55.582,2.625,0.6935462406294125,-0.6599480374820881,2020-11-08
786,水生根茎类,5.8,5.8,8.0,6.0,13.408,1.171,-0.6641502077650135,-0.6599480374820881,2020-11-09
792,水生根茎类,5.8,5.8,8.0,6.0,9.913,2.19,-0.7766638201123963,-0.6599480374820881,2020-11-10
798,水生根茎类,6.351071428571429,5.61,9.428571428571429,6.0,15.549,1.606,-0.5952255599722392,-0.2886761258842085,2020-11-11
804,水生根茎类,6.34,5.8,9.090909090909092,6.0,13.732,1.505,-0.6537197612984752,-0.3764313049891617,2020-11-12
810,水生根茎类,5.972173913043478,5.8,8.347826086956522,6.0,13.047,0.7190000000000001,-0.675771785463842,-0.5695513981365176,2020-11-13
816,水生根茎类,5.2,5.2,7.0,6.0,51.705,6.422,0.5687350031270368,-0.9198383756006038,2020-11-14
822,水生根茎类,5.2,5.2,7.0,6.0,39.231,6.122,0.16716281416530526,-0.9198383756006038,2020-11-15
828,水生根茎类,5.2,5.2,8.0,6.0,13.998,0.452,-0.6451564935203912,-0.6599480374820881,2020-11-16
834,水生根茎类,5.8,5.8,8.0,6.0,20.615,4.147,-0.43213715935654806,-0.6599480374820881,2020-11-17
840,水生根茎类,5.8,5.8,8.0,6.0,16.646,2.525,-0.5599101285716445,-0.6599480374820881,2020-11-18
846,水生根茎类,6.152857142857143,5.66,8.714285714285714,6.0,18.393,4.5840000000000005,-0.5036694187659569,-0.47431208168314853,2020-11-19
852,水生根茎类,5.7105263157894735,5.599999999999999,8.31578947368421,6.0,20.641,1.839,-0.43130014822034435,-0.5778774043920305,2020-11-20
858,水生根茎类,5.697464788732394,5.64,8.253521126760564,6.0,91.277,4.098,1.842665952429077,-0.5940603461280981,2020-11-21
864,水生根茎类,5.6,0.0,8.0,0.0,67.538,0.0,1.0784425923390857,-0.6599480374820881,2020-11-22
870,水生根茎类,5.6,0.0,8.0,0.0,34.987,0.0,0.03053684254805424,-0.6599480374820881,2020-11-23
876,水生根茎类,6.0,6.0,8.0,6.0,40.528,4.164,0.20891679276746694,-0.6599480374820881,2020-11-24
882,水生根茎类,6.0,6.0,8.0,6.0,31.807,6.89,-0.07183605795686063,-0.6599480374820881,2020-11-25
888,水生根茎类,6.07,0.0,8.0,0.0,24.099,0.0,-0.31997766710525144,-0.6599480374820881,2020-11-26
894,水生根茎类,6.2,6.2,8.0,6.0,20.1,3.0780000000000003,-0.4487164184005829,-0.6599480374820881,2020-11-27
900,水生根茎类,6.179999999999999,0.0,8.0,0.0,30.289,0.0,-0.1207046312167538,-0.6599480374820881,2020-11-28
906,水生根茎类,6.0,0.0,8.0,0.0,31.494,0.0,-0.08191238432731289,-0.6599480374820881,2020-11-29
912,水生根茎类,6.0,6.0,8.0,6.0,16.105,2.376,-0.5773263987518831,-0.6599480374820881,2020-11-30
918,水生根茎类,6.0,0.0,8.0,0.0,25.029,0.0,-0.2900384226179651,-0.6599480374820881,2020-12-01
924,水生根茎类,5.893076923076923,6.15,8.0,6.0,22.394,0.585,-0.3748662819986099,-0.6599480374820881,2020-12-02
930,水生根茎类,5.31734693877551,6.2,8.0,6.0,30.514,4.834,-0.11346126561499104,-0.6599480374820881,2020-12-03
936,水生根茎类,4.98921568627451,4.3,6.725490196078432,5.0,67.286,19.964,1.0703300228651114,-0.9911808213586275,2020-12-04
942,水生根茎类,5.5618181818181816,6.080000000000001,7.136363636363637,6.0,39.772,3.746,0.1845790843455438,-0.884398784038988,2020-12-05
948,水生根茎类,5.381188811188811,6.089999999999999,6.825174825174825,6.0,89.278,4.4830000000000005,1.7783126731494152,-0.9652737493975472,2020-12-06
954,水生根茎类,5.465862068965517,6.09,6.965517241379311,6.0,51.414,8.713,0.559366916948757,-0.9288001113977937,2020-12-07
960,水生根茎类,5.384347826086957,6.09,6.826086956521739,6.0,69.831,8.514,1.152260536005051,-0.9650366952733891,2020-12-08
966,水生根茎类,6.0359375,6.089999999999999,8.375,6.0,20.512,19.385,-0.43545301116535495,-0.5624891606876448,2020-12-09
972,水生根茎类,5.923061224489796,6.11,7.693877551020408,4.125,34.621,13.827,0.018754301169186704,-0.7395063042530624,2020-12-10
978,水生根茎类,5.998780487804877,0.0,6.780487804878049,0.0,55.358,0.0,0.6863350677636574,-0.9768874742119853,2020-12-11
984,水生根茎类,5.853877551020409,6.2,8.122448979591837,6.0,69.513,1.957,1.1420232459545596,-0.6281247307736983,2020-12-12
990,水生根茎类,6.030769230769231,0.0,8.512820512820513,0.0,73.578,0.0,1.2728867178264083,-0.5266709410110545,2020-12-13
996,水生根茎类,4.878461538461538,6.4,8.0,5.691176470588236,22.631,42.886,-0.36723660356475296,-0.6599480374820881,2020-12-14
1002,水生根茎类,5.72379746835443,6.400000000000001,8.582278481012658,6.0,47.635,3.545,0.43771056757514903,-0.5086194861725728,2020-12-15
1008,水生根茎类,5.68280701754386,6.400000000000001,8.421052631578947,6.0,38.283,8.999,0.13664410042987782,-0.5505205266953448,2020-12-16
1014,水生根茎类,5.617428571428571,6.4,8.0,6.0,41.824,6.105,0.2506385786336209,-0.6599480374820881,2020-12-17
1020,水生根茎类,6.172763157894737,6.49,8.424999999999999,6.0,55.335,8.027000000000001,0.6855946348354773,-0.5494946437817192,2020-12-18
1026,水生根茎类,6.464047619047619,0.0,9.07063492063492,0.0,85.825,0.0,1.6671511557143615,-0.3817003659567887,2020-12-19
1032,水生根茎类,6.195922330097087,6.8,8.86990291262136,6.0,76.108,1.205,1.3543343399262304,-0.4338686753906414,2020-12-20
1038,水生根茎类,6.021176470588236,6.68,8.23235294117647,6.0,46.846,1.622,0.41231049886496735,-0.5995617530369036,2020-12-21
1044,水生根茎类,5.708163265306122,6.4,8.081632653061224,6.0,37.828,0.87,0.12199640554631302,-0.6387324996764953,2020-12-22
1050,水生根茎类,5.641785714285715,6.409999999999999,8.035714285714286,6.0,36.104,7.726,0.06649612866880567,-0.6506662396921409,2020-12-23
1056,水生根茎类,5.634567901234568,6.4,8.074074074074074,6.0,52.023,9.265,0.5789722931775284,-0.640696901325161,2020-12-24
1062,水生根茎类,5.97925,6.400000000000001,8.377500000000001,6.0,60.415,5.569,0.8491337337552782,-0.5618394348423481,2020-12-25
1068,水生根茎类,5.827777777777778,0.0,8.272916666666667,0.0,103.905,0.0,2.249195822736015,-0.5890196327039098,2020-12-26
1074,水生根茎类,5.683720930232559,0.0,8.05813953488372,0.0,93.232,0.0,1.9056027513243938,-0.6448381341031049,2020-12-27
1080,水生根茎类,5.848767123287672,6.4,8.26027397260274,6.0,55.486,7.776,0.6904557379726602,-0.5923053467389129,2020-12-28
1086,水生根茎类,6.033235294117647,6.4,7.897058823529412,6.0,51.913,3.011,0.5754310922166664,-0.686701454641347,2020-12-29
1092,水生根茎类,6.0884,6.4,8.062000000000001,6.0,74.772,0.97,1.3113248446197632,-0.6438348365187399,2020-12-30
1098,水生根茎类,6.04,6.4,7.189010989010989,6.0,72.72,0.585,1.2452653503316857,-0.8707162457584228,2020-12-31
1104,水生根茎类,5.870081300813008,0.0,6.810569105691057,0.0,91.569,0.0,1.8520662313433647,-0.9690696347726478,2021-01-01
1110,水生根茎类,6.215853658536585,6.6,7.346341463414634,6.0,95.19,7.024,1.9686361284277345,-0.8298275755693132,2021-01-02
1116,水生根茎类,5.875779816513761,6.6,6.927522935779817,6.0,71.854,4.651,1.2173864409489008,-0.9386744643266246,2021-01-03
1122,水生根茎类,6.67,0.0,8.848039215686274,0.0,68.248,0.0,1.1012994349046485,-0.4395508389796215,2021-01-04
1128,水生根茎类,6.279285714285714,0.0,8.7,0.0,89.144,0.0,1.7739988465243652,-0.47802480079912735,2021-01-05
1134,水生根茎类,6.50359375,0.0,8.7328125,0.0,49.852,0.0,0.5090818633045189,-0.46949714907961343,2021-01-06
1140,水生根茎类,6.949014084507042,0.0,9.092957746478874,0.0,54.723,0.0,0.6658926803986823,-0.37589887920044274,2021-01-07
1146,水生根茎类,6.712285714285715,0.0,8.28857142857143,0.0,53.904,0.0,0.6395268296082658,-0.5849511113393161,2021-01-08
1152,水生根茎类,7.007567567567568,0.0,8.875675675675677,0.0,90.49,0.0,1.8173302691909106,-0.43236839004857686,2021-01-09
1158,水生根茎类,6.861428571428571,0.0,9.095918367346938,0.0,79.563,0.0,1.4655602428332997,-0.37512944244200075,2021-01-10
1164,水生根茎类,6.909824561403509,0.0,8.433333333333334,0.0,47.911,0.0,0.4465957627133116,-0.5473288909640646,2021-01-11
1170,水生根茎类,6.851617647058824,0.0,9.569117647058825,0.0,55.595,0.0,0.6939647461975144,-0.2521495216402404,2021-01-12
1176,水生根茎类,6.834464285714286,0.0,9.6625,0.0,40.616,0.0,0.21174975353615644,-0.22788035036005588,2021-01-13
1181,水生根茎类,6.837454545454546,0.0,9.1,0.0,43.51,0.0,0.30491553154283035,-0.37406866555172097,2021-01-14
1187,水生根茎类,6.905333333333333,0.0,9.078333333333337,0.0,51.428,0.0,0.5598176152528666,-0.37969962287762116,2021-01-15
1193,水生根茎类,6.879591836734694,0.0,9.093877551020409,0.0,82.624,0.0,1.5641022077532818,-0.37565983088714017,2021-01-16
1199,水生根茎类,7.050945945945946,0.0,9.77027027027027,0.0,67.482,0.0,1.076639799122647,-0.19987189838039146,2021-01-17
1205,水生根茎类,6.733793103448276,0.0,9.56206896551724,0.0,48.095,0.0,0.4525192261387531,-0.25398140586937273,2021-01-18
1211,水生根茎类,6.704166666666667,0.0,9.55,0.0,42.265,0.0,0.2648355752130761,-0.25711801339838863,2021-01-19
1217,水生根茎类,6.779677419354839,0.0,9.65967741935484,0.0,44.546,0.0,0.3382672060469473,-0.22861391179829343,2021-01-20
1223,水生根茎类,6.777142857142857,0.0,9.6,0.0,48.089,0.0,0.4523260697227061,-0.24412349649246312,2021-01-21
1229,水生根茎类,6.8059375,0.0,9.6015625,0.0,48.728,0.0,0.47289722803171264,-0.24371741783915285,2021-01-22
1235,水生根茎类,7.029555555555556,0.0,9.813333333333334,0.0,66.893,0.0,1.0576782776140323,-0.18868022436051274,2021-01-23
1241,水生根茎类,6.963793103448276,0.0,9.707758620689654,0.0,88.664,0.0,1.7585463332406044,-0.21611807212624384,2021-01-24
1247,水生根茎类,7.034951456310679,0.0,9.767961165048543,0.0,86.892,0.0,1.701500805034721,-0.20047201251721725,2021-01-25
1253,水生根茎类,6.680632911392405,0.0,9.50253164556962,0.0,59.222,0.0,0.8107277996979313,-0.26945458008122974,2021-01-26
1259,水生根茎类,6.9103076923076925,0.0,9.766153846153845,0.0,50.075,0.0,0.5162608434342661,-0.20094171723584844,2021-01-27
